ID,Title,Link,Difficulty,Paid Only,Status,Slug,Tags
68,Text Justification,https://leetcode.com/problems/text-justification/,HARD,False,TO_DO,text-justification,"Array, String, Simulation"
69,Sqrt(x),https://leetcode.com/problems/sqrtx/,EASY,False,TO_DO,sqrtx,"Math, Binary Search"
70,Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,EASY,False,TO_DO,climbing-stairs,"Math, Dynamic Programming, Memoization"
71,Simplify Path,https://leetcode.com/problems/simplify-path/,MEDIUM,False,TO_DO,simplify-path,"String, Stack"
72,Edit Distance,https://leetcode.com/problems/edit-distance/,MEDIUM,False,TO_DO,edit-distance,"String, Dynamic Programming"
73,Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,MEDIUM,False,TO_DO,set-matrix-zeroes,"Array, Hash Table, Matrix"
74,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,MEDIUM,False,TO_DO,search-a-2d-matrix,"Array, Binary Search, Matrix"
75,Sort Colors,https://leetcode.com/problems/sort-colors/,MEDIUM,False,TO_DO,sort-colors,"Array, Two Pointers, Sorting"
76,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,HARD,False,TO_DO,minimum-window-substring,"Hash Table, String, Sliding Window"
77,Combinations,https://leetcode.com/problems/combinations/,MEDIUM,False,TO_DO,combinations,Backtracking
78,Subsets,https://leetcode.com/problems/subsets/,MEDIUM,False,TO_DO,subsets,"Array, Backtracking, Bit Manipulation"
79,Word Search,https://leetcode.com/problems/word-search/,MEDIUM,False,TO_DO,word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
80,Remove Duplicates from Sorted Array II,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/,MEDIUM,False,TO_DO,remove-duplicates-from-sorted-array-ii,"Array, Two Pointers"
81,Search in Rotated Sorted Array II,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,MEDIUM,False,TO_DO,search-in-rotated-sorted-array-ii,"Array, Binary Search"
82,Remove Duplicates from Sorted List II,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/,MEDIUM,False,TO_DO,remove-duplicates-from-sorted-list-ii,"Linked List, Two Pointers"
83,Remove Duplicates from Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,EASY,False,TO_DO,remove-duplicates-from-sorted-list,Linked List
84,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,HARD,False,TO_DO,largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
85,Maximal Rectangle,https://leetcode.com/problems/maximal-rectangle/,HARD,False,TO_DO,maximal-rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
86,Partition List,https://leetcode.com/problems/partition-list/,MEDIUM,False,TO_DO,partition-list,"Linked List, Two Pointers"
87,Scramble String,https://leetcode.com/problems/scramble-string/,HARD,False,TO_DO,scramble-string,"String, Dynamic Programming"
88,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array/,EASY,False,TO_DO,merge-sorted-array,"Array, Two Pointers, Sorting"
89,Gray Code,https://leetcode.com/problems/gray-code/,MEDIUM,False,TO_DO,gray-code,"Math, Backtracking, Bit Manipulation"
90,Subsets II,https://leetcode.com/problems/subsets-ii/,MEDIUM,False,TO_DO,subsets-ii,"Array, Backtracking, Bit Manipulation"
91,Decode Ways,https://leetcode.com/problems/decode-ways/,MEDIUM,False,TO_DO,decode-ways,"String, Dynamic Programming"
92,Reverse Linked List II,https://leetcode.com/problems/reverse-linked-list-ii/,MEDIUM,False,TO_DO,reverse-linked-list-ii,Linked List
93,Restore IP Addresses,https://leetcode.com/problems/restore-ip-addresses/,MEDIUM,False,TO_DO,restore-ip-addresses,"String, Backtracking"
94,Binary Tree Inorder Traversal,https://leetcode.com/problems/binary-tree-inorder-traversal/,EASY,False,TO_DO,binary-tree-inorder-traversal,"Stack, Tree, Depth-First Search, Binary Tree"
95,Unique Binary Search Trees II,https://leetcode.com/problems/unique-binary-search-trees-ii/,MEDIUM,False,TO_DO,unique-binary-search-trees-ii,"Dynamic Programming, Backtracking, Tree, Binary Search Tree, Binary Tree"
96,Unique Binary Search Trees,https://leetcode.com/problems/unique-binary-search-trees/,MEDIUM,False,TO_DO,unique-binary-search-trees,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree"
97,Interleaving String,https://leetcode.com/problems/interleaving-string/,MEDIUM,False,TO_DO,interleaving-string,"String, Dynamic Programming"
98,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,MEDIUM,False,TO_DO,validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
99,Recover Binary Search Tree,https://leetcode.com/problems/recover-binary-search-tree/,MEDIUM,False,TO_DO,recover-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
100,Same Tree,https://leetcode.com/problems/same-tree/,EASY,False,TO_DO,same-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
101,Symmetric Tree,https://leetcode.com/problems/symmetric-tree/,EASY,False,TO_DO,symmetric-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
102,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,MEDIUM,False,TO_DO,binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
103,Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,MEDIUM,False,TO_DO,binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
104,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,EASY,False,TO_DO,maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
105,Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,MEDIUM,False,TO_DO,construct-binary-tree-from-preorder-and-inorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
106,Construct Binary Tree from Inorder and Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/,MEDIUM,False,TO_DO,construct-binary-tree-from-inorder-and-postorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
107,Binary Tree Level Order Traversal II,https://leetcode.com/problems/binary-tree-level-order-traversal-ii/,MEDIUM,False,TO_DO,binary-tree-level-order-traversal-ii,"Tree, Breadth-First Search, Binary Tree"
108,Convert Sorted Array to Binary Search Tree,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/,EASY,False,TO_DO,convert-sorted-array-to-binary-search-tree,"Array, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
109,Convert Sorted List to Binary Search Tree,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/,MEDIUM,False,TO_DO,convert-sorted-list-to-binary-search-tree,"Linked List, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
110,Balanced Binary Tree,https://leetcode.com/problems/balanced-binary-tree/,EASY,False,TO_DO,balanced-binary-tree,"Tree, Depth-First Search, Binary Tree"
111,Minimum Depth of Binary Tree,https://leetcode.com/problems/minimum-depth-of-binary-tree/,EASY,False,TO_DO,minimum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
112,Path Sum,https://leetcode.com/problems/path-sum/,EASY,False,TO_DO,path-sum,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
113,Path Sum II,https://leetcode.com/problems/path-sum-ii/,MEDIUM,False,TO_DO,path-sum-ii,"Backtracking, Tree, Depth-First Search, Binary Tree"
114,Flatten Binary Tree to Linked List,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,MEDIUM,False,TO_DO,flatten-binary-tree-to-linked-list,"Linked List, Stack, Tree, Depth-First Search, Binary Tree"
115,Distinct Subsequences,https://leetcode.com/problems/distinct-subsequences/,HARD,False,TO_DO,distinct-subsequences,"String, Dynamic Programming"
116,Populating Next Right Pointers in Each Node,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/,MEDIUM,False,TO_DO,populating-next-right-pointers-in-each-node,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
117,Populating Next Right Pointers in Each Node II,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii/,MEDIUM,False,TO_DO,populating-next-right-pointers-in-each-node-ii,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
118,Pascal's Triangle,https://leetcode.com/problems/pascals-triangle/,EASY,False,TO_DO,pascals-triangle,"Array, Dynamic Programming"
119,Pascal's Triangle II,https://leetcode.com/problems/pascals-triangle-ii/,EASY,False,TO_DO,pascals-triangle-ii,"Array, Dynamic Programming"
120,Triangle,https://leetcode.com/problems/triangle/,MEDIUM,False,TO_DO,triangle,"Array, Dynamic Programming"
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,EASY,False,TO_DO,best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
122,Best Time to Buy and Sell Stock II,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,MEDIUM,False,TO_DO,best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
123,Best Time to Buy and Sell Stock III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,HARD,False,TO_DO,best-time-to-buy-and-sell-stock-iii,"Array, Dynamic Programming"
124,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/,HARD,False,TO_DO,binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
125,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,EASY,False,TO_DO,valid-palindrome,"Two Pointers, String"
126,Word Ladder II,https://leetcode.com/problems/word-ladder-ii/,HARD,False,TO_DO,word-ladder-ii,"Hash Table, String, Backtracking, Breadth-First Search"
127,Word Ladder,https://leetcode.com/problems/word-ladder/,HARD,False,TO_DO,word-ladder,"Hash Table, String, Breadth-First Search"
128,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/,MEDIUM,False,TO_DO,longest-consecutive-sequence,"Array, Hash Table, Union-Find"
129,Sum Root to Leaf Numbers,https://leetcode.com/problems/sum-root-to-leaf-numbers/,MEDIUM,False,TO_DO,sum-root-to-leaf-numbers,"Tree, Depth-First Search, Binary Tree"
130,Surrounded Regions,https://leetcode.com/problems/surrounded-regions/,MEDIUM,False,TO_DO,surrounded-regions,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
131,Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning/,MEDIUM,False,TO_DO,palindrome-partitioning,"String, Dynamic Programming, Backtracking"
132,Palindrome Partitioning II,https://leetcode.com/problems/palindrome-partitioning-ii/,HARD,False,TO_DO,palindrome-partitioning-ii,"String, Dynamic Programming"
133,Clone Graph,https://leetcode.com/problems/clone-graph/,MEDIUM,False,TO_DO,clone-graph,"Hash Table, Depth-First Search, Breadth-First Search, Graph Theory"
134,Gas Station,https://leetcode.com/problems/gas-station/,MEDIUM,False,TO_DO,gas-station,"Array, Greedy"
135,Candy,https://leetcode.com/problems/candy/,HARD,False,TO_DO,candy,"Array, Greedy"
136,Single Number,https://leetcode.com/problems/single-number/,EASY,False,TO_DO,single-number,"Array, Bit Manipulation"
137,Single Number II,https://leetcode.com/problems/single-number-ii/,MEDIUM,False,TO_DO,single-number-ii,"Array, Bit Manipulation"
138,Copy List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer/,MEDIUM,False,TO_DO,copy-list-with-random-pointer,"Hash Table, Linked List"
139,Word Break,https://leetcode.com/problems/word-break/,MEDIUM,False,TO_DO,word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
140,Word Break II,https://leetcode.com/problems/word-break-ii/,HARD,False,TO_DO,word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
141,Linked List Cycle,https://leetcode.com/problems/linked-list-cycle/,EASY,False,TO_DO,linked-list-cycle,"Hash Table, Linked List, Two Pointers"
142,Linked List Cycle II,https://leetcode.com/problems/linked-list-cycle-ii/,MEDIUM,False,TO_DO,linked-list-cycle-ii,"Hash Table, Linked List, Two Pointers"
143,Reorder List,https://leetcode.com/problems/reorder-list/,MEDIUM,False,TO_DO,reorder-list,"Linked List, Two Pointers, Stack, Recursion"
144,Binary Tree Preorder Traversal,https://leetcode.com/problems/binary-tree-preorder-traversal/,EASY,False,TO_DO,binary-tree-preorder-traversal,"Stack, Tree, Depth-First Search, Binary Tree"
145,Binary Tree Postorder Traversal,https://leetcode.com/problems/binary-tree-postorder-traversal/,EASY,False,TO_DO,binary-tree-postorder-traversal,"Stack, Tree, Depth-First Search, Binary Tree"
146,LRU Cache,https://leetcode.com/problems/lru-cache/,MEDIUM,False,TO_DO,lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
147,Insertion Sort List,https://leetcode.com/problems/insertion-sort-list/,MEDIUM,False,TO_DO,insertion-sort-list,"Linked List, Sorting"
148,Sort List,https://leetcode.com/problems/sort-list/,MEDIUM,False,TO_DO,sort-list,"Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort"
149,Max Points on a Line,https://leetcode.com/problems/max-points-on-a-line/,HARD,False,TO_DO,max-points-on-a-line,"Array, Hash Table, Math, Geometry"
150,Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation/,MEDIUM,False,TO_DO,evaluate-reverse-polish-notation,"Array, Math, Stack"
151,Reverse Words in a String,https://leetcode.com/problems/reverse-words-in-a-string/,MEDIUM,False,TO_DO,reverse-words-in-a-string,"Two Pointers, String"
152,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray/,MEDIUM,False,TO_DO,maximum-product-subarray,"Array, Dynamic Programming"
153,Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,MEDIUM,False,TO_DO,find-minimum-in-rotated-sorted-array,"Array, Binary Search"
154,Find Minimum in Rotated Sorted Array II,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii/,HARD,False,TO_DO,find-minimum-in-rotated-sorted-array-ii,"Array, Binary Search"
155,Min Stack,https://leetcode.com/problems/min-stack/,MEDIUM,False,TO_DO,min-stack,"Stack, Design"
156,Binary Tree Upside Down,https://leetcode.com/problems/binary-tree-upside-down/,MEDIUM,True,TO_DO,binary-tree-upside-down,"Tree, Depth-First Search, Binary Tree"
157,Read N Characters Given Read4,https://leetcode.com/problems/read-n-characters-given-read4/,EASY,True,TO_DO,read-n-characters-given-read4,"Array, Simulation, Interactive"
158,Read N Characters Given read4 II - Call Multiple Times,https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times/,HARD,True,TO_DO,read-n-characters-given-read4-ii-call-multiple-times,"Array, Simulation, Interactive"
159,Longest Substring with At Most Two Distinct Characters,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters/,MEDIUM,True,TO_DO,longest-substring-with-at-most-two-distinct-characters,"Hash Table, String, Sliding Window"
160,Intersection of Two Linked Lists,https://leetcode.com/problems/intersection-of-two-linked-lists/,EASY,False,TO_DO,intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers"
161,One Edit Distance,https://leetcode.com/problems/one-edit-distance/,MEDIUM,True,TO_DO,one-edit-distance,"Two Pointers, String"
162,Find Peak Element,https://leetcode.com/problems/find-peak-element/,MEDIUM,False,TO_DO,find-peak-element,"Array, Binary Search"
163,Missing Ranges,https://leetcode.com/problems/missing-ranges/,EASY,True,TO_DO,missing-ranges,Array
164,Maximum Gap,https://leetcode.com/problems/maximum-gap/,MEDIUM,False,TO_DO,maximum-gap,"Array, Sorting, Bucket Sort, Radix Sort"
165,Compare Version Numbers,https://leetcode.com/problems/compare-version-numbers/,MEDIUM,False,TO_DO,compare-version-numbers,"Two Pointers, String"
166,Fraction to Recurring Decimal,https://leetcode.com/problems/fraction-to-recurring-decimal/,MEDIUM,False,TO_DO,fraction-to-recurring-decimal,"Hash Table, Math, String"
167,Two Sum II - Input Array Is Sorted,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,MEDIUM,False,TO_DO,two-sum-ii-input-array-is-sorted,"Array, Two Pointers, Binary Search"
168,Excel Sheet Column Title,https://leetcode.com/problems/excel-sheet-column-title/,EASY,False,TO_DO,excel-sheet-column-title,"Math, String"
169,Majority Element,https://leetcode.com/problems/majority-element/,EASY,False,TO_DO,majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
170,Two Sum III - Data structure design,https://leetcode.com/problems/two-sum-iii-data-structure-design/,EASY,True,TO_DO,two-sum-iii-data-structure-design,"Array, Hash Table, Two Pointers, Design, Data Stream"
171,Excel Sheet Column Number,https://leetcode.com/problems/excel-sheet-column-number/,EASY,False,TO_DO,excel-sheet-column-number,"Math, String"
172,Factorial Trailing Zeroes,https://leetcode.com/problems/factorial-trailing-zeroes/,MEDIUM,False,TO_DO,factorial-trailing-zeroes,Math
173,Binary Search Tree Iterator,https://leetcode.com/problems/binary-search-tree-iterator/,MEDIUM,False,TO_DO,binary-search-tree-iterator,"Stack, Tree, Design, Binary Search Tree, Binary Tree, Iterator"
174,Dungeon Game,https://leetcode.com/problems/dungeon-game/,HARD,False,TO_DO,dungeon-game,"Array, Dynamic Programming, Matrix"
175,Combine Two Tables,https://leetcode.com/problems/combine-two-tables/,EASY,False,TO_DO,combine-two-tables,Database
176,Second Highest Salary,https://leetcode.com/problems/second-highest-salary/,MEDIUM,False,TO_DO,second-highest-salary,Database
177,Nth Highest Salary,https://leetcode.com/problems/nth-highest-salary/,MEDIUM,False,TO_DO,nth-highest-salary,Database
178,Rank Scores,https://leetcode.com/problems/rank-scores/,MEDIUM,False,TO_DO,rank-scores,Database
179,Largest Number,https://leetcode.com/problems/largest-number/,MEDIUM,False,TO_DO,largest-number,"Array, String, Greedy, Sorting"
180,Consecutive Numbers,https://leetcode.com/problems/consecutive-numbers/,MEDIUM,False,TO_DO,consecutive-numbers,Database
181,Employees Earning More Than Their Managers,https://leetcode.com/problems/employees-earning-more-than-their-managers/,EASY,False,TO_DO,employees-earning-more-than-their-managers,Database
182,Duplicate Emails,https://leetcode.com/problems/duplicate-emails/,EASY,False,TO_DO,duplicate-emails,Database
183,Customers Who Never Order,https://leetcode.com/problems/customers-who-never-order/,EASY,False,TO_DO,customers-who-never-order,Database
