ID,Title,Link,Difficulty,Paid Only,Status,Slug,Description,Hints
4136,Concatenate Non-Zero Digits and Multiply by Sum II,https://leetcode.com/problems/concatenate-non-zero-digits-and-multiply-by-sum-ii/,Medium,False,,concatenate-non-zero-digits-and-multiply-by-sum-ii,Practice problem: Concatenate Non-Zero Digits and Multiply by Sum II.,No hints available.
4135,Concatenate Non-Zero Digits and Multiply by Sum I,https://leetcode.com/problems/concatenate-non-zero-digits-and-multiply-by-sum-i/,Easy,False,,concatenate-non-zero-digits-and-multiply-by-sum-i,Practice problem: Concatenate Non-Zero Digits and Multiply by Sum I.,No hints available.
4134,Number of Effective Subsequences,https://leetcode.com/problems/number-of-effective-subsequences/,Hard,False,,number-of-effective-subsequences,Practice problem: Number of Effective Subsequences.,No hints available.
4128,Total Waviness of Numbers in Range II,https://leetcode.com/problems/total-waviness-of-numbers-in-range-ii/,Hard,False,,total-waviness-of-numbers-in-range-ii,Practice problem: Total Waviness of Numbers in Range II.,No hints available.
4127,Minimum Distance Excluding One Maximum Weighted Edge,https://leetcode.com/problems/minimum-distance-excluding-one-maximum-weighted-edge/,Medium,True,,minimum-distance-excluding-one-maximum-weighted-edge,Practice problem: Minimum Distance Excluding One Maximum Weighted Edge.,No hints available.
4126,Minimum Number of Flips to Reverse Binary String,https://leetcode.com/problems/minimum-number-of-flips-to-reverse-binary-string/,Easy,False,,minimum-number-of-flips-to-reverse-binary-string,Practice problem: Minimum Number of Flips to Reverse Binary String.,No hints available.
4119,Minimum Distance Between Three Equal Elements II,https://leetcode.com/problems/minimum-distance-between-three-equal-elements-ii/,Medium,False,,minimum-distance-between-three-equal-elements-ii,Practice problem: Minimum Distance Between Three Equal Elements II.,No hints available.
4116,Minimum Moves to Equal Array Elements III,https://leetcode.com/problems/minimum-moves-to-equal-array-elements-iii/,Easy,False,,minimum-moves-to-equal-array-elements-iii,Practice problem: Minimum Moves to Equal Array Elements III.,No hints available.
4115,Minimum Distance Between Three Equal Elements I,https://leetcode.com/problems/minimum-distance-between-three-equal-elements-i/,Easy,False,,minimum-distance-between-three-equal-elements-i,Practice problem: Minimum Distance Between Three Equal Elements I.,No hints available.
4113,Find Kth Character in Expanded String,https://leetcode.com/problems/find-kth-character-in-expanded-string/,Medium,True,,find-kth-character-in-expanded-string,Practice problem: Find Kth Character in Expanded String.,No hints available.
4112,Maximize Expression of Three Elements,https://leetcode.com/problems/maximize-expression-of-three-elements/,Easy,False,,maximize-expression-of-three-elements,Practice problem: Maximize Expression of Three Elements.,No hints available.
4110,Count Stable Subarrays,https://leetcode.com/problems/count-stable-subarrays/,Hard,False,,count-stable-subarrays,Practice problem: Count Stable Subarrays.,No hints available.
4109,Maximum Calories Burnt from Jumps,https://leetcode.com/problems/maximum-calories-burnt-from-jumps/,Medium,True,,maximum-calories-burnt-from-jumps,Practice problem: Maximum Calories Burnt from Jumps.,No hints available.
4108,Minimum Operations to Make the Array Beautiful,https://leetcode.com/problems/minimum-operations-to-make-the-array-beautiful/,Medium,True,,minimum-operations-to-make-the-array-beautiful,Practice problem: Minimum Operations to Make the Array Beautiful.,No hints available.
4107,Find Missing Elements,https://leetcode.com/problems/find-missing-elements/,Easy,False,,find-missing-elements,Practice problem: Find Missing Elements.,No hints available.
4106,Lexicographically Smallest String After Reverse II,https://leetcode.com/problems/lexicographically-smallest-string-after-reverse-ii/,Hard,True,,lexicographically-smallest-string-after-reverse-ii,Practice problem: Lexicographically Smallest String After Reverse II.,No hints available.
4103,Find Churn Risk Customers,https://leetcode.com/problems/find-churn-risk-customers/,Medium,False,,find-churn-risk-customers,Practice problem: Find Churn Risk Customers.,No hints available.
4101,Maximum Product of Three Elements After One Replacement,https://leetcode.com/problems/maximum-product-of-three-elements-after-one-replacement/,Medium,False,,maximum-product-of-three-elements-after-one-replacement,Practice problem: Maximum Product of Three Elements After One Replacement.,No hints available.
4100,Complete Prime Number,https://leetcode.com/problems/complete-prime-number/,Medium,False,,complete-prime-number,Practice problem: Complete Prime Number.,No hints available.
4099,Minimum Operations to Make Binary Palindrome,https://leetcode.com/problems/minimum-operations-to-make-binary-palindrome/,Medium,False,,minimum-operations-to-make-binary-palindrome,Practice problem: Minimum Operations to Make Binary Palindrome.,No hints available.
4098,Longest Non-Decreasing Subarray After Replacing at Most One Element,https://leetcode.com/problems/longest-non-decreasing-subarray-after-replacing-at-most-one-element/,Medium,False,,longest-non-decreasing-subarray-after-replacing-at-most-one-element,Practice problem: Longest Non-Decreasing Subarray After Replacing at Most One Element.,No hints available.
4091,Find Golden Hour Customers,https://leetcode.com/problems/find-golden-hour-customers/,Medium,False,,find-golden-hour-customers,Practice problem: Find Golden Hour Customers.,No hints available.
4090,Minimum String Length After Balanced Removals,https://leetcode.com/problems/minimum-string-length-after-balanced-removals/,Medium,False,,minimum-string-length-after-balanced-removals,Practice problem: Minimum String Length After Balanced Removals.,No hints available.
4089,Maximize Points After Choosing K Tasks,https://leetcode.com/problems/maximize-points-after-choosing-k-tasks/,Medium,False,,maximize-points-after-choosing-k-tasks,Practice problem: Maximize Points After Choosing K Tasks.,No hints available.
4087,Maximum Substrings With Distinct Start,https://leetcode.com/problems/maximum-substrings-with-distinct-start/,Medium,False,,maximum-substrings-with-distinct-start,Practice problem: Maximum Substrings With Distinct Start.,No hints available.
4085,Largest Prime from Consecutive Prime Sum,https://leetcode.com/problems/largest-prime-from-consecutive-prime-sum/,Medium,False,,largest-prime-from-consecutive-prime-sum,Practice problem: Largest Prime from Consecutive Prime Sum.,No hints available.
4084,Maximize Sum of Squares of Digits,https://leetcode.com/problems/maximize-sum-of-squares-of-digits/,Medium,False,,maximize-sum-of-squares-of-digits,Practice problem: Maximize Sum of Squares of Digits.,No hints available.
4083,Stable Subarrays With Equal Boundary and Interior Sum,https://leetcode.com/problems/stable-subarrays-with-equal-boundary-and-interior-sum/,Medium,False,,stable-subarrays-with-equal-boundary-and-interior-sum,Practice problem: Stable Subarrays With Equal Boundary and Interior Sum.,No hints available.
4081,Maximum Transactions Without Negative Balance,https://leetcode.com/problems/maximum-transactions-without-negative-balance/,Medium,True,,maximum-transactions-without-negative-balance,Practice problem: Maximum Transactions Without Negative Balance.,No hints available.
4080,Smallest Missing Multiple of K,https://leetcode.com/problems/smallest-missing-multiple-of-k/,Easy,False,,smallest-missing-multiple-of-k,Practice problem: Smallest Missing Multiple of K.,No hints available.
4078,Maximum Alternating Sum of Squares,https://leetcode.com/problems/maximum-alternating-sum-of-squares/,Medium,False,,maximum-alternating-sum-of-squares,Practice problem: Maximum Alternating Sum of Squares.,No hints available.
4077,Lexicographically Smallest Negated Permutation that Sums to Target,https://leetcode.com/problems/lexicographically-smallest-negated-permutation-that-sums-to-target/,Medium,False,,lexicographically-smallest-negated-permutation-that-sums-to-target,Practice problem: Lexicographically Smallest Negated Permutation that Sums to Target.,No hints available.
4075,Count Subarrays With Majority Element II,https://leetcode.com/problems/count-subarrays-with-majority-element-ii/,Hard,False,,count-subarrays-with-majority-element-ii,Practice problem: Count Subarrays With Majority Element II.,No hints available.
4074,Count Subarrays With Majority Element I,https://leetcode.com/problems/count-subarrays-with-majority-element-i/,Medium,False,,count-subarrays-with-majority-element-i,Practice problem: Count Subarrays With Majority Element I.,No hints available.
4073,Lexicographically Smallest String After Reverse,https://leetcode.com/problems/lexicographically-smallest-string-after-reverse/,Medium,False,,lexicographically-smallest-string-after-reverse,Practice problem: Lexicographically Smallest String After Reverse.,No hints available.
4070,Maximum Distance Between Unequal Words in Array II,https://leetcode.com/problems/maximum-distance-between-unequal-words-in-array-ii/,Medium,True,,maximum-distance-between-unequal-words-in-array-ii,Practice problem: Maximum Distance Between Unequal Words in Array II.,No hints available.
4069,Count Ways to Choose Coprime Integers from Rows,https://leetcode.com/problems/count-ways-to-choose-coprime-integers-from-rows/,Hard,False,,count-ways-to-choose-coprime-integers-from-rows,Practice problem: Count Ways to Choose Coprime Integers from Rows.,No hints available.
4068,Sum of Elements With Frequency Divisible by K,https://leetcode.com/problems/sum-of-elements-with-frequency-divisible-by-k/,Easy,False,,sum-of-elements-with-frequency-divisible-by-k,Practice problem: Sum of Elements With Frequency Divisible by K.,No hints available.
4066,Maximum Distance Between Unequal Words in Array I,https://leetcode.com/problems/maximum-distance-between-unequal-words-in-array-i/,Easy,True,,maximum-distance-between-unequal-words-in-array-i,Practice problem: Maximum Distance Between Unequal Words in Array I.,No hints available.
4064,Minimum Deletions to Make Alternating Substring,https://leetcode.com/problems/minimum-deletions-to-make-alternating-substring/,Hard,False,,minimum-deletions-to-make-alternating-substring,Practice problem: Minimum Deletions to Make Alternating Substring.,No hints available.
4063,Count Distinct Subarrays Divisible by K in Sorted Array,https://leetcode.com/problems/count-distinct-subarrays-divisible-by-k-in-sorted-array/,Hard,False,,count-distinct-subarrays-divisible-by-k-in-sorted-array,Practice problem: Count Distinct Subarrays Divisible by K in Sorted Array.,No hints available.
4060,Library Late Fee Calculator,https://leetcode.com/problems/library-late-fee-calculator/,Easy,True,,library-late-fee-calculator,Practice problem: Library Late Fee Calculator.,No hints available.
4059,Design Exam Scores Tracker,https://leetcode.com/problems/design-exam-scores-tracker/,Medium,False,,design-exam-scores-tracker,Practice problem: Design Exam Scores Tracker.,No hints available.
4058,Compute Alternating Sum,https://leetcode.com/problems/compute-alternating-sum/,Easy,False,,compute-alternating-sum,Practice problem: Compute Alternating Sum.,No hints available.
4057,Total Waviness of Numbers in Range I,https://leetcode.com/problems/total-waviness-of-numbers-in-range-i/,Medium,False,,total-waviness-of-numbers-in-range-i,Practice problem: Total Waviness of Numbers in Range I.,No hints available.
4056,Longest Balanced Substring II,https://leetcode.com/problems/longest-balanced-substring-ii/,Medium,False,,longest-balanced-substring-ii,Practice problem: Longest Balanced Substring II.,No hints available.
4055,Longest Balanced Substring I,https://leetcode.com/problems/longest-balanced-substring-i/,Medium,False,,longest-balanced-substring-i,Practice problem: Longest Balanced Substring I.,No hints available.
4054,Count Distinct Integers After Removing Zeros,https://leetcode.com/problems/count-distinct-integers-after-removing-zeros/,Medium,False,,count-distinct-integers-after-removing-zeros,Practice problem: Count Distinct Integers After Removing Zeros.,No hints available.
4053,Majority Frequency Characters,https://leetcode.com/problems/majority-frequency-characters/,Easy,False,,majority-frequency-characters,Practice problem: Majority Frequency Characters.,No hints available.
4052,Equal Score Substrings,https://leetcode.com/problems/equal-score-substrings/,Easy,False,,equal-score-substrings,Practice problem: Equal Score Substrings.,No hints available.
4051,Remove Zeros in Decimal Representation,https://leetcode.com/problems/remove-zeros-in-decimal-representation/,Easy,False,,remove-zeros-in-decimal-representation,Practice problem: Remove Zeros in Decimal Representation.,No hints available.
4050,Minimum Index Sum of Common Elements,https://leetcode.com/problems/minimum-index-sum-of-common-elements/,Medium,True,,minimum-index-sum-of-common-elements,Practice problem: Minimum Index Sum of Common Elements.,No hints available.
4049,Count No-Zero Pairs That Sum to N,https://leetcode.com/problems/count-no-zero-pairs-that-sum-to-n/,Hard,False,,count-no-zero-pairs-that-sum-to-n,Practice problem: Count No-Zero Pairs That Sum to N.,No hints available.
4048,Minimum Time to Complete All Deliveries,https://leetcode.com/problems/minimum-time-to-complete-all-deliveries/,Medium,False,,minimum-time-to-complete-all-deliveries,Practice problem: Minimum Time to Complete All Deliveries.,No hints available.
4047,Longest Balanced Subarray II,https://leetcode.com/problems/longest-balanced-subarray-ii/,Hard,False,,longest-balanced-subarray-ii,Practice problem: Longest Balanced Subarray II.,No hints available.
4045,Longest Balanced Subarray I,https://leetcode.com/problems/longest-balanced-subarray-i/,Medium,False,,longest-balanced-subarray-i,Practice problem: Longest Balanced Subarray I.,No hints available.
4043,Find Zombie Sessions,https://leetcode.com/problems/find-zombie-sessions/,Hard,False,,find-zombie-sessions,Practice problem: Find Zombie Sessions.,No hints available.
4042,Minimum Operations to Transform Array,https://leetcode.com/problems/minimum-operations-to-transform-array/,Medium,False,,minimum-operations-to-transform-array,Practice problem: Minimum Operations to Transform Array.,No hints available.
4041,Climbing Stairs II,https://leetcode.com/problems/climbing-stairs-ii/,Medium,False,,climbing-stairs-ii,Practice problem: Climbing Stairs II.,No hints available.
4039,Compute Decimal Representation,https://leetcode.com/problems/compute-decimal-representation/,Easy,False,,compute-decimal-representation,Practice problem: Compute Decimal Representation.,No hints available.
4037,Lexicographically Smallest Palindromic Permutation Greater Than Target,https://leetcode.com/problems/lexicographically-smallest-palindromic-permutation-greater-than-target/,Hard,False,,lexicographically-smallest-palindromic-permutation-greater-than-target,Practice problem: Lexicographically Smallest Palindromic Permutation Greater Than Target.,No hints available.
4036,Sum of Weighted Modes in Subarrays,https://leetcode.com/problems/sum-of-weighted-modes-in-subarrays/,Medium,True,,sum-of-weighted-modes-in-subarrays,Practice problem: Sum of Weighted Modes in Subarrays.,No hints available.
4035,Maximum Partition Factor,https://leetcode.com/problems/maximum-partition-factor/,Hard,False,,maximum-partition-factor,Practice problem: Maximum Partition Factor.,No hints available.
4033,Longest Subsequence With Non-Zero Bitwise XOR,https://leetcode.com/problems/longest-subsequence-with-non-zero-bitwise-xor/,Medium,False,,longest-subsequence-with-non-zero-bitwise-xor,Practice problem: Longest Subsequence With Non-Zero Bitwise XOR.,No hints available.
4030,Maximize Cyclic Partition Score,https://leetcode.com/problems/maximize-cyclic-partition-score/,Hard,False,,maximize-cyclic-partition-score,Practice problem: Maximize Cyclic Partition Score.,No hints available.
4029,Sort Array By Absolute Value,https://leetcode.com/problems/sort-array-by-absolute-value/,Easy,True,,sort-array-by-absolute-value,Practice problem: Sort Array By Absolute Value.,No hints available.
4027,Number of Stable Subsequences,https://leetcode.com/problems/number-of-stable-subsequences/,Hard,False,,number-of-stable-subsequences,Practice problem: Number of Stable Subsequences.,No hints available.
4025,Find Loyal Customers,https://leetcode.com/problems/find-loyal-customers/,Medium,False,,find-loyal-customers,Practice problem: Find Loyal Customers.,No hints available.
4023,Count Binary Palindromic Numbers,https://leetcode.com/problems/count-binary-palindromic-numbers/,Hard,False,,count-binary-palindromic-numbers,Practice problem: Count Binary Palindromic Numbers.,No hints available.
4022,Minimum Operations to Equalize Subarrays,https://leetcode.com/problems/minimum-operations-to-equalize-subarrays/,Hard,False,,minimum-operations-to-equalize-subarrays,Practice problem: Minimum Operations to Equalize Subarrays.,No hints available.
4021,Distinct Points Reachable After Substring Removal,https://leetcode.com/problems/distinct-points-reachable-after-substring-removal/,Medium,False,,distinct-points-reachable-after-substring-removal,Practice problem: Distinct Points Reachable After Substring Removal.,No hints available.
4020,Lexicographically Smallest Permutation Greater Than Target,https://leetcode.com/problems/lexicographically-smallest-permutation-greater-than-target/,Medium,False,,lexicographically-smallest-permutation-greater-than-target,Practice problem: Lexicographically Smallest Permutation Greater Than Target.,No hints available.
4019,Remove K-Balanced Substrings,https://leetcode.com/problems/remove-k-balanced-substrings/,Medium,False,,remove-k-balanced-substrings,Practice problem: Remove K-Balanced Substrings.,No hints available.
4018,Minimum Moves to Balance Circular Array,https://leetcode.com/problems/minimum-moves-to-balance-circular-array/,Medium,False,,minimum-moves-to-balance-circular-array,Practice problem: Minimum Moves to Balance Circular Array.,No hints available.
4017,Filter Characters by Frequency,https://leetcode.com/problems/filter-characters-by-frequency/,Easy,True,,filter-characters-by-frequency,Practice problem: Filter Characters by Frequency.,No hints available.
4015,Split Array With Minimum Difference,https://leetcode.com/problems/split-array-with-minimum-difference/,Medium,False,,split-array-with-minimum-difference,Practice problem: Split Array With Minimum Difference.,No hints available.
4012,Earliest Time to Finish One Task,https://leetcode.com/problems/earliest-time-to-finish-one-task/,Easy,False,,earliest-time-to-finish-one-task,Practice problem: Earliest Time to Finish One Task.,No hints available.
4011,Smallest Absent Positive Greater Than Average,https://leetcode.com/problems/smallest-absent-positive-greater-than-average/,Easy,False,,smallest-absent-positive-greater-than-average,Practice problem: Smallest Absent Positive Greater Than Average.,No hints available.
4010,Maximize Alternating Sum Using Swaps,https://leetcode.com/problems/maximize-alternating-sum-using-swaps/,Hard,False,,maximize-alternating-sum-using-swaps,Practice problem: Maximize Alternating Sum Using Swaps.,No hints available.
4009,Bitwise OR of Even Numbers in an Array,https://leetcode.com/problems/bitwise-or-of-even-numbers-in-an-array/,Easy,False,,bitwise-or-of-even-numbers-in-an-array,Practice problem: Bitwise OR of Even Numbers in an Array.,No hints available.
4008,Restore Finishing Order,https://leetcode.com/problems/restore-finishing-order/,Easy,False,,restore-finishing-order,Practice problem: Restore Finishing Order.,No hints available.
4007,Maximum Total Subarray Value II,https://leetcode.com/problems/maximum-total-subarray-value-ii/,Hard,False,,maximum-total-subarray-value-ii,Practice problem: Maximum Total Subarray Value II.,No hints available.
4006,Determine if a Simple Graph Exists,https://leetcode.com/problems/determine-if-a-simple-graph-exists/,Medium,True,,determine-if-a-simple-graph-exists,Practice problem: Determine if a Simple Graph Exists.,No hints available.
4005,Maximum Total Subarray Value I,https://leetcode.com/problems/maximum-total-subarray-value-i/,Medium,False,,maximum-total-subarray-value-i,Practice problem: Maximum Total Subarray Value I.,No hints available.
4003,Longest Fibonacci Subarray,https://leetcode.com/problems/longest-fibonacci-subarray/,Medium,False,,longest-fibonacci-subarray,Practice problem: Longest Fibonacci Subarray.,No hints available.
4000,Count Bowl Subarrays,https://leetcode.com/problems/count-bowl-subarrays/,Medium,False,,count-bowl-subarrays,Practice problem: Count Bowl Subarrays.,No hints available.
3999,Minimum Operations to Transform String,https://leetcode.com/problems/minimum-operations-to-transform-string/,Medium,False,,minimum-operations-to-transform-string,Practice problem: Minimum Operations to Transform String.,No hints available.
3998,Minimum Operations to Equalize Array,https://leetcode.com/problems/minimum-operations-to-equalize-array/,Easy,False,,minimum-operations-to-equalize-array,Practice problem: Minimum Operations to Equalize Array.,No hints available.
3997,Maximize Sum of At Most K Distinct Elements,https://leetcode.com/problems/maximize-sum-of-at-most-k-distinct-elements/,Easy,False,,maximize-sum-of-at-most-k-distinct-elements,Practice problem: Maximize Sum of At Most K Distinct Elements.,No hints available.
3996,Find Books with Polarized Opinions,https://leetcode.com/problems/find-books-with-polarized-opinions/,Easy,False,,find-books-with-polarized-opinions,Practice problem: Find Books with Polarized Opinions.,No hints available.
3995,GCD of Odd and Even Sums,https://leetcode.com/problems/gcd-of-odd-and-even-sums/,Easy,False,,gcd-of-odd-and-even-sums,Practice problem: GCD of Odd and Even Sums.,No hints available.
3994,Find The Least Frequent Digit,https://leetcode.com/problems/find-the-least-frequent-digit/,Easy,False,,find-the-least-frequent-digit,Practice problem: Find The Least Frequent Digit.,No hints available.
3992,Longest Semi-Repeating Subarray,https://leetcode.com/problems/longest-semi-repeating-subarray/,Medium,True,,longest-semi-repeating-subarray,Practice problem: Longest Semi-Repeating Subarray.,No hints available.
3991,Generate Schedule,https://leetcode.com/problems/generate-schedule/,Medium,False,,generate-schedule,Practice problem: Generate Schedule.,No hints available.
3990,Maximum XOR of Subsequences,https://leetcode.com/problems/maximum-xor-of-subsequences/,Hard,False,,maximum-xor-of-subsequences,Practice problem: Maximum XOR of Subsequences.,No hints available.
3989,Sum of Beautiful Subsequences,https://leetcode.com/problems/sum-of-beautiful-subsequences/,Hard,False,,sum-of-beautiful-subsequences,Practice problem: Sum of Beautiful Subsequences.,No hints available.
3987,Maximum Weight in Two Bags,https://leetcode.com/problems/maximum-weight-in-two-bags/,Medium,True,,maximum-weight-in-two-bags,Practice problem: Maximum Weight in Two Bags.,No hints available.
3986,Maximum Path Score in a Grid,https://leetcode.com/problems/maximum-path-score-in-a-grid/,Medium,False,,maximum-path-score-in-a-grid,Practice problem: Maximum Path Score in a Grid.,No hints available.
3983,Minimum Operations to Equalize Binary String,https://leetcode.com/problems/minimum-operations-to-equalize-binary-string/,Hard,False,,minimum-operations-to-equalize-binary-string,Practice problem: Minimum Operations to Equalize Binary String.,No hints available.
3982,Maximum Walls Destroyed by Robots,https://leetcode.com/problems/maximum-walls-destroyed-by-robots/,Hard,False,,maximum-walls-destroyed-by-robots,Practice problem: Maximum Walls Destroyed by Robots.,No hints available.
3981,Jump Game IX,https://leetcode.com/problems/jump-game-ix/,Medium,False,,jump-game-ix,Practice problem: Jump Game IX.,No hints available.
3980,Best Time to Buy and Sell Stock using Strategy,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-using-strategy/,Medium,False,,best-time-to-buy-and-sell-stock-using-strategy,Practice problem: Best Time to Buy and Sell Stock using Strategy.,No hints available.
3979,Partition Array Into K-Distinct Groups,https://leetcode.com/problems/partition-array-into-k-distinct-groups/,Medium,False,,partition-array-into-k-distinct-groups,Practice problem: Partition Array Into K-Distinct Groups.,No hints available.
3975,XOR After Range Multiplication Queries II,https://leetcode.com/problems/xor-after-range-multiplication-queries-ii/,Hard,False,,xor-after-range-multiplication-queries-ii,Practice problem: XOR After Range Multiplication Queries II.,No hints available.
3974,XOR After Range Multiplication Queries I,https://leetcode.com/problems/xor-after-range-multiplication-queries-i/,Medium,False,,xor-after-range-multiplication-queries-i,Practice problem: XOR After Range Multiplication Queries I.,No hints available.
3973,Flip Square Submatrix Vertically,https://leetcode.com/problems/flip-square-submatrix-vertically/,Easy,False,,flip-square-submatrix-vertically,Practice problem: Flip Square Submatrix Vertically.,No hints available.
3971,Find Stores with Inventory Imbalance,https://leetcode.com/problems/find-stores-with-inventory-imbalance/,Medium,False,,find-stores-with-inventory-imbalance,Practice problem: Find Stores with Inventory Imbalance.,No hints available.
3969,Sort Threats by Severity and Exploitability,https://leetcode.com/problems/sort-threats-by-severity-and-exploitability/,Medium,True,,sort-threats-by-severity-and-exploitability,Practice problem: Sort Threats by Severity and Exploitability.,No hints available.
3967,Earliest Finish Time for Land and Water Rides II,https://leetcode.com/problems/earliest-finish-time-for-land-and-water-rides-ii/,Medium,False,,earliest-finish-time-for-land-and-water-rides-ii,Practice problem: Earliest Finish Time for Land and Water Rides II.,No hints available.
3966,Minimum Sum After Divisible Sum Deletions,https://leetcode.com/problems/minimum-sum-after-divisible-sum-deletions/,Medium,False,,minimum-sum-after-divisible-sum-deletions,Practice problem: Minimum Sum After Divisible Sum Deletions.,No hints available.
3965,Earliest Finish Time for Land and Water Rides I,https://leetcode.com/problems/earliest-finish-time-for-land-and-water-rides-i/,Easy,False,,earliest-finish-time-for-land-and-water-rides-i,Practice problem: Earliest Finish Time for Land and Water Rides I.,No hints available.
3964,Number of ZigZag Arrays II,https://leetcode.com/problems/number-of-zigzag-arrays-ii/,Hard,False,,number-of-zigzag-arrays-ii,Practice problem: Number of ZigZag Arrays II.,No hints available.
3963,Number of Perfect Pairs,https://leetcode.com/problems/number-of-perfect-pairs/,Medium,False,,number-of-perfect-pairs,Practice problem: Number of Perfect Pairs.,No hints available.
3962,Number of ZigZag Arrays I,https://leetcode.com/problems/number-of-zigzag-arrays-i/,Hard,False,,number-of-zigzag-arrays-i,Practice problem: Number of ZigZag Arrays I.,No hints available.
3961,Find Students with Study Spiral Pattern,https://leetcode.com/problems/find-students-with-study-spiral-pattern/,Hard,False,,find-students-with-study-spiral-pattern,Practice problem: Find Students with Study Spiral Pattern.,No hints available.
3960,Number of Student Replacements,https://leetcode.com/problems/number-of-student-replacements/,Medium,True,,number-of-student-replacements,Practice problem: Number of Student Replacements.,No hints available.
3959,Maximum Total from Optimal Activation Order,https://leetcode.com/problems/maximum-total-from-optimal-activation-order/,Medium,False,,maximum-total-from-optimal-activation-order,Practice problem: Maximum Total from Optimal Activation Order.,No hints available.
3958,Minimum Removals to Balance Array,https://leetcode.com/problems/minimum-removals-to-balance-array/,Medium,False,,minimum-removals-to-balance-array,Practice problem: Minimum Removals to Balance Array.,No hints available.
3957,Sum of Perfect Square Ancestors,https://leetcode.com/problems/sum-of-perfect-square-ancestors/,Hard,False,,sum-of-perfect-square-ancestors,Practice problem: Sum of Perfect Square Ancestors.,No hints available.
3956,Trionic Array II,https://leetcode.com/problems/trionic-array-ii/,Hard,False,,trionic-array-ii,Practice problem: Trionic Array II.,No hints available.
3955,Threshold Majority Queries,https://leetcode.com/problems/threshold-majority-queries/,Hard,False,,threshold-majority-queries,Practice problem: Threshold Majority Queries.,No hints available.
3954,Maximum Balanced Shipments,https://leetcode.com/problems/maximum-balanced-shipments/,Medium,False,,maximum-balanced-shipments,Practice problem: Maximum Balanced Shipments.,No hints available.
3953, Minimum Discards to Balance Inventory,https://leetcode.com/problems/minimum-discards-to-balance-inventory/,Medium,False,,minimum-discards-to-balance-inventory,Practice problem:  Minimum Discards to Balance Inventory.,No hints available.
3952,Trionic Array I,https://leetcode.com/problems/trionic-array-i/,Easy,False,,trionic-array-i,Practice problem: Trionic Array I.,No hints available.
3951,Next Special Palindrome Number,https://leetcode.com/problems/next-special-palindrome-number/,Hard,False,,next-special-palindrome-number,Practice problem: Next Special Palindrome Number.,No hints available.
3950,Maximum K to Sort a Permutation,https://leetcode.com/problems/maximum-k-to-sort-a-permutation/,Medium,False,,maximum-k-to-sort-a-permutation,Practice problem: Maximum K to Sort a Permutation.,No hints available.
