#,Category,Problem,Difficulty,LeetCode URL
46,Matrix,Set Matrix Zeroes,Medium,https://leetcode.com/problems/set-matrix-zeroes/
47,Matrix,Spiral Matrix,Medium,https://leetcode.com/problems/spiral-matrix/
48,Matrix,Rotate Image,Medium,https://leetcode.com/problems/rotate-image/
49,Matrix,Word Search,Medium,https://leetcode.com/problems/word-search/
50,String,Longest Substring Without Repeating Characters,Medium,https://leetcode.com/problems/longest-substring-without-repeating-characters/
51,String,Longest Repeating Character Replacement,Medium,https://leetcode.com/problems/longest-repeating-character-replacement/
52,String,Minimum Window Substring,Hard,https://leetcode.com/problems/minimum-window-substring/
53,String,Valid Anagram,Easy,https://leetcode.com/problems/valid-anagram/
54,String,Group Anagrams,Medium,https://leetcode.com/problems/group-anagrams/
55,String,Valid Parentheses,Easy,https://leetcode.com/problems/valid-parentheses/
56,String,Valid Palindrome,Easy,https://leetcode.com/problems/valid-palindrome/
57,String,Longest Palindromic Substring,Medium,https://leetcode.com/problems/longest-palindromic-substring/
58,String,Palindromic Substrings,Medium,https://leetcode.com/problems/palindromic-substrings/
59,String,Encode and Decode Strings (Premium),Medium,https://leetcode.com/problems/encode-and-decode-strings/
60,Tree,Maximum Depth of Binary Tree,Easy,https://leetcode.com/problems/maximum-depth-of-binary-tree/
61,Tree,Same Tree,Easy,https://leetcode.com/problems/same-tree/
62,Tree,Invert Binary Tree,Easy,https://leetcode.com/problems/invert-binary-tree/
63,Tree,Binary Tree Maximum Path Sum,Hard,https://leetcode.com/problems/binary-tree-maximum-path-sum/
64,Tree,Binary Tree Level Order Traversal,Medium,https://leetcode.com/problems/binary-tree-level-order-traversal/
65,Tree,Serialize and Deserialize Binary Tree,Hard,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/
66,Tree,Subtree of Another Tree,Easy,https://leetcode.com/problems/subtree-of-another-tree/
67,Tree,Construct Binary Tree from Preorder and Inorder Traversal,Medium,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/
68,Tree,Validate Binary Search Tree,Medium,https://leetcode.com/problems/validate-binary-search-tree/
69,Tree,Kth Smallest Element in a BST,Medium,https://leetcode.com/problems/kth-smallest-element-in-a-bst/
70,Tree,Lowest Common Ancestor of a BST,Medium,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/
71,Tree,Implement Trie (Prefix Tree),Medium,https://leetcode.com/problems/implement-trie-prefix-tree/
72,Tree,Design Add and Search Words Data Structure,Medium,https://leetcode.com/problems/design-add-and-search-words-data-structure/
73,Tree,Word Search II,Hard,https://leetcode.com/problems/word-search-ii/
74,Heap,Top K Frequent Elements,Medium,https://leetcode.com/problems/top-k-frequent-elements/
75,Heap,Find Median from Data Stream,Hard,https://leetcode.com/problems/find-median-from-data-stream/
